,title,company,rating,location,salary,summary
43,Cloud Operations Engineer,Cloud Reach,,"Pune, Maharashtra",,"The Core Operations Engineer’s primary role is to maintain customer cloud service and infrastructure, and ensure that all requests for support are dealt with…30+ days ago·More...View all Cloud Reach jobs - Pune jobsSalary Search: Cloud Operations Engineer salaries in Pune, Maharashtra"
44,User Experience Engineer,Google,4.3,"Hyderabad, Telangana",,"Work closely with UX designers, project managers, and back-end engineers to implement versatile front-end solutions to tricky web development issues.25 days ago·More...View all Google jobs - Hyderabad jobsSalary Search: User Experience Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about Google"
45,Cloud Devops Engineer,Tarana Wireless,,"Pune, Maharashtra",,"At least 3 years hands-on experience in cloud DevOps.As a Cloud Devops Engineer, you will help us release software that runs on the cloud and remotely manages…3 days ago·More...View all Tarana Wireless jobs - Pune jobsSalary Search: Cloud Devops Engineer salaries in Pune, Maharashtra"
46,Software Engineer,Microsoft,4.2,"Hyderabad, Telangana+3 locations",,"Then MBO Engineering team is the place for you.As a hands-on Software Engineer (SWE), you'll make decisions about design and feature implementation, using your…11 days ago·More...View all Microsoft jobs - Hyderabad jobsSalary Search: Software Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about Microsoft"
47,"DevSecOps Engineer - Python/Shell, Linux, WebLogic, Cloud Na...",Oracle,3.8,"Bengaluru, Karnataka",,"Required Knowledge, Skills, Abilities, and Background Â· Bachelor's degree in Computer Science / Electronics / Electric Engineering or equivalent.30+ days ago·More...View all Oracle jobs - Bengaluru jobsSalary Search: DevSecOps Engineer - Python/Shell, Linux, WebLogic, Cloud Native: Details salaries in Bengaluru, KarnatakaSee popular questions & answers about Oracle"
48,"Cloud Operations Professional, Site Reliability - Opportunit...",VMware,4.1,"Bengaluru, Karnataka+2 locations•Remote",,"Perform proactive troubleshooting & performance analysis of internal services and cloud environments.Ability to work with global R&D and Cloud Services to help…14 days ago·More...View all VMware jobs - Bengaluru jobsSalary Search: Cloud Operations Professional, Site Reliability - Opportunity for Working Remotely Bangalore, salaries in Bengaluru, KarnatakaSee popular questions & answers about VMware"
49,DevOps Engineer,Telsloye,,"Pune, Maharashtra•Remote","₹7,00,000 - ₹15,00,000 a year",".Deploying, automating, maintaining and managing AWS cloud-based production system.Ensuring critical system security through the use of best in class cloud…8 days ago·More...View all Telsloye jobs - Pune jobsSalary Search: DevOps Engineer salaries in Pune, Maharashtra"
50,Cloud Infrastructure Engineer - Azure,Morgan Stanley,3.9,"Bengaluru, Karnataka",,"Desire to work with development teams and help them adopt public cloud.The ideal candidate will have strong knowledge of Microsoft Azure and experience…30+ days ago·More...View all Morgan Stanley jobs - Bengaluru jobsSalary Search: Cloud Infrastructure Engineer - Azure salaries in Bengaluru, KarnatakaSee popular questions & answers about Morgan Stanley"
51,Consultant – Azure Cloud Engineer,Genpact,3.8,"Hyderabad, Telangana",,"Data migration from on premise to Azure.Supervise and Maintain Azure Resource.Provide Support to Oracle EPM Team.OS Hardening as per Business Requirement.11 days ago·More...View all Genpact jobs - Hyderabad jobsSalary Search: Consultant – Azure Cloud Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about Genpact"
52,Lead Cloud Applications Engineer_Middleware,opentext,3.5,"Bengaluru, Karnataka",,"Work experience on public cloud platforms such as GCP and AWS.The role will also help support development of innovative solutions in cloud and infrastructure…Today·More...View all opentext jobs - Bengaluru jobsSalary Search: Lead Cloud Applications Engineer_Middleware salaries in Bengaluru, KarnatakaSee popular questions & answers about opentext"
53,Cloud Security,Applied Cloud Computing,,"Hyderabad, Telangana","₹12,00,000 a year","ACC has the deep expertise to drive cloud adoption for Financial Services organizations, including the largest Indian banks, Insurance firms, investment…3 days ago·More...View all Applied Cloud Computing jobs - Hyderabad jobsSalary Search: Cloud Security salaries in Hyderabad, Telangana"
54,Google Cloud Solutions Engineer,Bidmath,,"Hyderabad, Telangana",,"Advise internal teams on the technical best practices across the cloud solutions and the best implementation process.30+ days ago·More...View all Bidmath jobs - Hyderabad jobsSalary Search: Google Cloud Solutions Engineer salaries in Hyderabad, Telangana"
55,Sr. Software Engineer - Cloud DevOps,General Electric,4.0,"Bengaluru, Karnataka",,"Experience with automation, monitoring, and infrastructure-as-code on major cloud provider (AWS, GCP).Responsible for programming a component, feature and or…1 day ago·More...View all General Electric jobs - Bengaluru jobsSalary Search: Sr. Software Engineer - Cloud DevOps salaries in Bengaluru, KarnatakaSee popular questions & answers about General Electric"
56,Cloud & Virtualization Engineer,IDFC FIRST Bank,3.7,"Mumbai, Maharashtra",,"'• To represent IT as the Virtualization & Cloud expert.'• Maintain the Virtualization server platform on VMware, Nutanix.25 days ago·More...View all IDFC FIRST Bank jobs - Mumbai jobsSalary Search: Cloud & Virtualization Engineer salaries in Mumbai, MaharashtraSee popular questions & answers about IDFC FIRST Bank"
57,MTS 1 Cloud Engineer,PayPal,3.9,"Chennai, Tamil Nadu",,"We are looking Engineers who can design and develop solutions which enables PayPal teams in the public cloud.Experiecne in distributed systems and networking.11 days ago·More...View all PayPal jobs - Chennai jobsSalary Search: MTS 1 Cloud Engineer salaries in Chennai, Tamil NaduSee popular questions & answers about PayPal"
58,SCCM/Intune Engineer,Zensar Technologies,3.7,"Hyderabad, Telangana",,"Evaluate on at least 2-3 areas.Client-Server Architecture knowledge is mandatory.Client/Server Architecture, Patch Management, S/W Distribution, OS Deployment…30+ days ago·More...View all Zensar Technologies jobs - Hyderabad jobsSalary Search: SCCM/Intune Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about Zensar Technologies"
59,Cloud Devops Engineer,IBM,3.9,"Hyderabad, Telangana",,"Overall 8+ years of experience with at least 4+ years of relevant technical and working skills within a cloud environment, or on a cloud-based product with…30+ days ago·More...View all IBM jobs - Hyderabad jobsSalary Search: Cloud Devops Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about IBM"
60,Systems Operations Engineer,WELLS FARGO BANK,3.7,"Hyderabad, Telangana+2 locations",,"Manages and monitors all installed applications, systems and infrastructure (on-prem / cloud / hybrid) on the platform.Experience with Oauth, SAML and JWT.3 days ago·More...View all WELLS FARGO BANK jobs - Hyderabad jobsSalary Search: Systems Operations Engineer salaries in Hyderabad, TelanganaSee popular questions & answers about WELLS FARGO BANK"
61,RAN Fault Management Engineer,Rakuten,3.5,"Bengaluru, Karnataka",,"Frequent communication and coordination with local NOC engineers / Field Engineers / Customers sitting in different geographical locations.2 days ago·More...View all Rakuten jobs - Bengaluru jobsSalary Search: RAN Fault Management Engineer salaries in Bengaluru, Karnataka"
62,Specialist System Engineer-Iron Port Admin,Société Générale,3.9,"Bengaluru, Karnataka",,"Have hands on experience on support post migration of mailboxes from Exchange on-premise to cloud.Work under pressure and fast-paced environment to resolve…22 days ago·More...View all Société Générale jobs - Bengaluru jobsSalary Search: Specialist System Engineer-Iron Port Admin salaries in Bengaluru, KarnatakaSee popular questions & answers about Société Générale"
63,"Cloud Technical Solutions Engineer, Google Cloud SQL",Google,4.3,"Bengaluru, Karnataka",,"Experience migrating mission-critical database applications from on-premise to cloud or running a hybrid cloud environment for enterprises.14 days ago·More...View all Google jobs - Bengaluru jobsSalary Search: Cloud Technical Solutions Engineer, Google Cloud SQL salaries in Bengaluru, KarnatakaSee popular questions & answers about Google"
64,Senior Cloud & Infrastructure Engineer,BLAIZE,,"Hyderabad, Telangana",,"8 to 20+ years of solid experience in an IT department supporting cloud and on-prem infrastructure.Certifications as an AWS Solutions Architect, Cloud Security…30+ days ago·More...View all BLAIZE jobs - Hyderabad jobsSalary Search: Senior Cloud & Infrastructure Engineer salaries in Hyderabad, Telangana"
65,Cloud Operation Engineer,Avaloq,,"Pune, Maharashtra•Remote",,"Highly Experienced in AWS cloud.Expert of cloud SaaS security best practices.Solid experience in implementing public cloud concepts and models.30+ days ago·More...View all Avaloq jobs - Pune jobsSalary Search: Cloud Operation Engineer salaries in Pune, Maharashtra"
66,Cloud Engineer- Associate,"JPMorgan Chase Bank, N.A.",3.9,"Bengaluru, Karnataka",,"Define and build value-add services on the platform using cloud-native principles.Experience in the public cloud (AWS, GCP or Azure), is a big plus.6 days ago·More...View all JPMorgan Chase Bank, N.A. jobs - Bengaluru jobsSalary Search: Cloud Engineer- Associate salaries in Bengaluru, Karnataka"
67,Cloud Operations Engineer,Bentley Systems,3.9,"Pune, Maharashtra",,"Supports operations teams in troubleshooting and remediating issues with various cloud services provided by Microsoft Azure or Amazon Web Services.28 days ago·More...View all Bentley Systems jobs - Pune jobsSalary Search: Cloud Operations Engineer salaries in Pune, Maharashtra"
68,L3 Support Engineer (Software Hardware),Key Concepts Tech LLP,,Remote,"₹8,678 - ₹29,839 a month","We are looking for talented individuals with obsessive attention to detail and an appetite for ownership who will train, guide, and manage external teams of…1 day ago·More...View all Key Concepts Tech LLP jobs - Remote jobsSalary Search: L3 Support Engineer (Software Hardware) salaries in Remote"
